N = 30304, комбинаций: 12
N = 33281, комбинаций: 6
N = 36450, комбинаций: 6
N = 39817, комбинаций: 6
N = 43388, комбинаций: 6
N = 47169, комбинаций: 6
N = 1459, комбинаций: 6
N = 2061, комбинаций: 6
N = 2458, комбинаций: 9
N = 2927, комбинаций: 6
N = 3474, комбинаций: 6
N = 4826, комбинаций: 6
N = 5643, комбинаций: 12
N = 6562, комбинаций: 6
N = 7589, комбинаций: 6
N = 8730, комбинаций: 6
N = 9991, комбинаций: 6
N = 11378, комбинаций: 6
N = 12897, комбинаций: 6
N = 14554, комбинаций: 6
N = 16355, комбинаций: 6
N = 18306, комбинаций: 6
N = 20413, комбинаций: 6
N = 22682, комбинаций: 6
N = 25119, комбинаций: 6
N = 27730, комбинаций: 6
N = 30521, комбинаций: 6
N = 33498, комбинаций: 6
N = 36667, комбинаций: 6
N = 40034, комбинаций: 12
N = 43605, комбинаций: 6
N = 47386, комбинаций: 6
N = 2001, комбинаций: 3
N = 2332, комбинаций: 6
N = 2729, комбинаций: 9
N = 3198, комбинаций: 6
N = 3745, комбинаций: 12
N = 4376, комбинаций: 12
N = 5097, комбинаций: 6
N = 5914, комбинаций: 6
N = 6833, комбинаций: 6
N = 7860, комбинаций: 6
N = 9001, комбинаций: 6
N = 10262, комбинаций: 6
N = 11649, комбинаций: 6
N = 13168, комбинаций: 6
N = 14825, комбинаций: 6
N = 16626, комбинаций: 6
N = 18577, комбинаций: 6
N = 20684, комбинаций: 12
N = 22953, комбинаций: 6
N = 25390, комбинаций: 6
N = 28001, комбинаций: 12
N = 30792, комбинаций: 6
N = 33769, комбинаций: 6
N = 36938, комбинаций: 6
N = 40305, комбинаций: 6
N = 43876, комбинаций: 6
N = 47657, комбинаций: 6
N = 2663, комбинаций: 3
N = 3060, комбинаций: 12
N = 3529, комбинаций: 6
N = 4076, комбинаций: 6
N = 4707, комбинаций: 6
N = 5428, комбинаций: 6
N = 6245, комбинаций: 6
N = 7164, комбинаций: 6
N = 8191, комбинаций: 6
